ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
4786,1,1,F070802060406_130 - Go To Location 1,1,1,4786,,,,,,,,,29.2267788,,35.90503265,,0.396201134
4787,1,1,F070802060406_132 - Go To Location 1,2,1,4787,,,,,,,,,30.32679652,,36.72323985,,0.404991636
4788,1,1,F070802060406_134 - Go To Location 1,1,1,4788,,,,,,,,,30.5924983,,36.92249101,,0.407043869
4789,1,1,F070802060406_135 - Go To Location 1,2,1,4789,,,,,,,,,31.48109135,,37.58885162,,0.413880183
4790,1,1,F070802060406_136 - Go To Location 1,2,1,4790,,,,,,,,,30.00391035,,36.49152501,,0.401368504
4791,1,1,F070802060406_139 - Go To Location 1,2,1,4791,,,,,,,,,30.87672365,,37.1356331,,0.409229207
4792,1,1,F070802060406_143 - Go To Location 1,2,1,4792,,,,,,,,,36.83078041,,47.92756397,,0.53527078
4793,1,1,F070802060406_146 - Go To Location 1,1,1,4793,,,,,,,,,29.63925724,,37.28712311,,0.418280946
4794,1,1,F070802060406_150 - Go To Location 1,2,1,4794,,,,,,,,,28.61479249,,35.59711326,,0.397570913
4795,1,1,F070802060406_154 - Go To Location 1,1,1,4795,,,,,,,,,31.65295843,,51.86327072,,0.568680545
4796,1,1,F070802060406_155 - Go To Location 1,2,1,4796,,,,,,,,,26.60832965,,35.07508698,,0.397786027
4797,1,1,F070802060406_157 - Go To Location 1,2,1,4797,,,,,,,,,30.85675169,,37.24222113,,0.417067165
4798,1,1,F070802060406_163 - Go To Location 1,2,1,4798,,,,,,,,,29.17175171,,36.5572995,,0.409737589
4799,1,1,F070802060406_164 - Go To Location 1,1,1,4799,,,,,,,,,32.40013236,,37.19267584,,0.414761148
4800,1,1,F070802060406_166 - Go To Location 1,2,1,4800,,,,,,,,,29.94101111,,36.86271831,,0.413732316
4801,1,1,F070802060406_170 - Go To Location 1,2,1,4801,,,,,,,,,30.73987438,,50.84036976,,0.558256868
4802,1,1,F070802060406_172 - Go To Location 1,2,1,4802,,,,,,,,,29.27027,,37.53698723,,0.42293719
4803,1,1,F070802060406_174 - Go To Location 1,2,1,4803,,,,,,,,,30.33686945,,37.01694779,,0.415035385
4804,1,1,F070802060406_189 - Go To Location 1,1,1,4804,,,,,,,,,27.96516261,,37.06362798,,0.421700668
4805,1,1,F070802060406_191 - Go To Location 1,2,1,4805,,,,,,,,,30.58069051,,36.96595526,,0.406019683
4806,1,1,F070802060406_193 - Go To Location 1,2,1,4806,,,,,,,,,30.1957234,,36.63551647,,0.402734638
4807,1,1,F070802060406_195 - Go To Location 1,1,1,4807,,,,,,,,,31.22861839,,39.14055814,,0.439021887
4808,1,1,F070802060406_202 - Go To Location 1,2,1,4808,,,,,,,,,26.18810553,,34.45916911,,0.390379255
4809,1,1,F070802060406_204 - Go To Location 1,1,1,4809,,,,,,,,,26.48077696,,34.66603054,,0.390994691
4810,1,1,F070802060406_205 - Go To Location 1,2,1,4810,,,,,,,,,31.65126761,,51.8618765,,0.56866387
4811,1,1,F070802060406_209 - Go To Location 1,2,1,4811,,,,,,,,,29.24068967,,36.09613232,,0.402662676
4812,1,1,F070802060406_211 - Go To Location 1,2,1,4812,,,,,,,,,27.98811608,,37.09726727,,0.422105226
4813,1,1,F070802060406_270 - Go To Location 1,1,1,4813,,,,,,,,,29.61971207,,38.05254998,,0.421485921
4814,1,1,F070802060406_278 - Go To Location 1,1,1,4814,,,,,,,,,30.81359119,,50.59942181,,0.557505715
