OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,SUM_cropAcres,SUM_pctWScropAcres,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,ReducedCostTon,MLRA,HUC12
114,F070801010403_26,7251.364176,63912.81531,15.78646564,647.2451172,84,4322.96582,61.30622471,0.008061941,77.12267658,154246,73.26654279,27000.97851,4970.210938,67.83738708,108c,070801010403
115,F070801010403_3,4830.959862,41812.81787,10.32776642,423.4384155,79,2659.812988,35.15600127,0.004623113,34.87541484,69751,33.13164395,12210.03165,3083.251465,93.06062317,108c,070801010403
116,F070801010403_36,1957.160598,16879.28934,4.169184685,170.9365692,62,842.6755981,13.94489209,0.001833793,22.34378898,44688,21.22659946,7822.655936,1013.612183,47.75197983,108c,070801010403
117,F070801010403_43,3971.669063,35529.98444,8.775906563,359.8121643,64,1831.005005,24.31947386,0.003198079,12.48558992,24971,11.86131001,4371.258208,2190.817139,184.7028046,108c,070801010403
118,F070801010403_46,4677.970285,40940.71362,10.11235619,414.6065979,63,2076.875732,43.72756255,0.005750298,124.3657651,248731,118.1474748,43540.98482,2491.482422,21.08790207,108c,070801010403
119,F070801010405_110,2250.556115,19795.81516,4.889566422,200.472229,80,1275.198975,10.3602221,0.001362398,19.86735725,39735,18.87398887,6955.646444,1475.671143,78.18544006,108c,070801010405
120,F070801010405_114,3188.211527,27325.59593,6.749422073,276.7263184,76,1672.236816,22.84321844,0.003003948,32.87222266,65745,31.22861184,11508.70568,1948.963135,62.40953445,108c,070801010405
121,F070801010405_115,2347.227348,20409.90296,5.041245937,206.6910858,81,1331.191528,14.919912,0.00196201,21.80285059,43607,20.71270843,7633.271257,1537.882568,74.2482605,108c,070801010405
122,F070801010405_160,1365.773466,11444.57813,2.826810837,115.8992462,61,562.1395874,8.763085842,0.00115237,4.996887684,9994,4.747043133,1749.431661,678.0388184,142.8339233,108c,070801010405
123,F070801010405_161,3889.696405,32952.29842,8.139217377,333.7079163,87,2308.444824,27.38106922,0.003600688,12.55897389,25117,11.93102526,4396.950428,2642.152832,221.4522858,108c,070801010405
124,F070801010405_180,2716.463284,23527.9304,5.811398983,238.2673645,73,1382.996704,17.93498147,0.002358501,9.374528885,18749,8.905802429,3282.062601,1621.264038,182.0458069,108c,070801010405
125,F070801010405_182,1464.089911,12597.94234,3.111691713,127.579361,84,852.1056519,12.45868338,0.001638352,5.8406169,11681,5.54858603,2044.824916,979.6849976,176.5648041,108c,070801010405
126,F070801010405_183,4182.193088,36101.44393,8.917057037,365.5993347,76,2209.290039,32.19246525,0.0042334,64.75277345,129506,61.515135,22670.22265,2574.889404,41.8578186,108c,070801010405
127,F070801010405_185,1119.966488,9456.30686,2.335707903,95.76402283,77,586.3093872,10.07346751,0.001324689,15.12390245,30247,14.36770704,5294.942744,682.0734253,47.47267151,108c,070801010405
128,F070801010405_203,3765.040327,32350.29889,7.990523815,327.6114807,75,1953.683105,36.58693513,0.004811285,15.97182625,31944,15.1732351,5591.804653,2281.294678,150.3499146,108c,070801010405
129,F070801010405_234,3252.750726,27903.12011,6.89207077,282.5748901,71,1595.238647,23.54626369,0.0030964,28.86443806,57729,27.42121601,10105.563,1877.813477,68.48031616,108c,070801010405
130,F070801010405_239,6692.567356,57474.91761,14.19630432,582.0484619,82,3794.956299,42.32878768,0.005566355,39.66345626,79328,37.68028331,13886.34541,4377.004883,116.1616745,108c,070801010405
131,F070801010405_25,1181.601985,10279.32251,2.538992643,104.0987015,63,521.458313,6.242808104,0.000820947,8.606997013,17214,8.176647186,3013.346427,625.5570068,76.50531769,108c,070801010405
132,F070801010405_255,1742.946606,15119.52401,3.734522343,153.1154175,86,1047.010498,8.827678032,0.001160865,14.06145791,28123,13.35838543,4922.97663,1200.125977,89.84064484,108c,070801010405
133,F070801010405_258,2303.654498,19451.46898,4.804512978,196.9850311,79,1237.354248,16.34621399,0.002149573,20.69052382,41382,19.65599753,7243.84073,1434.339233,72.97209167,108c,070801010405
134,F070801010405_26,1029.589481,8887.930161,2.195318699,90.00806427,85,608.3227539,4.896641374,0.000643922,2.443841696,4887,2.321649551,855.5993945,698.3308105,300.790802,108c,070801010405
135,F070801010405_264,3623.201167,32077.28107,7.923088551,324.8466187,81,2092.170654,20.82095337,0.002738014,24.75348806,49507,23.51581383,8666.301966,2417.017334,102.7826385,108c,070801010405
136,F070801010405_265,1410.885507,11848.04463,2.926466942,119.9851456,84,801.383728,10.58726388,0.001392255,17.20844352,34417,16.34802139,6024.749598,921.3688965,56.35965729,108c,070801010405
137,F070801010405_27,2742.898234,24295.88422,6.001083374,246.0444183,78,1525.955444,20.71376038,0.002723918,33.90218163,67804,32.20707321,11869.29884,1771.999878,55.01896667,108c,070801010405
138,F070801010405_271,4881.114884,41587.33589,10.27207184,421.1549377,85,2846.391113,34.29350525,0.004509692,31.4237245,62846,29.8525385,11001.58025,3267.546143,109.4562225,108c,070801010405
139,F070801010405_28,5090.344717,44966.88576,11.10682106,455.3796692,79,2860.450439,34.01757884,0.004473407,14.88022184,29761,14.1362108,5209.629245,3315.830078,234.5628662,108c,070801010405
