biomass,price,yield,costs,npv,transport,,,,,,,,,,
cereal rye,60,1,delivered cost,-251, 16 km ,,,,,,,,,,
cereal rye,60,3,delivered cost,-160, 16 km ,,,,,,,,,,
cereal rye,60,5,delivered cost,-69, 16 km ,,,,,,,,,,
cereal rye,70,1,delivered cost,-241, 16 km ,,,,,,,,,,
cereal rye,70,3,delivered cost,-128, 16 km ,,,,,,,,,,
cereal rye,70,5,delivered cost,-16, 16 km ,,,,,,,,,,
cereal rye,80,1,delivered cost,-230, 16 km ,,,,,,,,,,
cereal rye,80,3,delivered cost,-96, 16 km ,,,,,,,,,,
cereal rye,80,5,delivered cost,37, 16 km ,,,,,,,,,,
cereal rye,90,1,delivered cost,-219, 16 km ,,,,,,,,,,
cereal rye,90,3,delivered cost,-65, 16 km ,,,,,,,,,,
cereal rye,90,5,delivered cost,90, 16 km ,,,,,,,,,,
cereal rye,100,1,delivered cost,-209, 16 km ,,,,,,,,,,
cereal rye,100,3,delivered cost,-33, 16 km ,,,,,,,,,,
cereal rye,100,5,delivered cost,143, 16 km ,,,,,,,,,,
cereal rye,110,1,delivered cost,-198, 16 km ,,,,,,,,,,
cereal rye,110,3,delivered cost,-1, 16 km ,,,,,,,,,,
cereal rye,110,5,delivered cost,196, 16 km ,,,,,,,,,,
cereal rye,120,1,delivered cost,-188, 16 km ,,,,,,,,,,
cereal rye,120,3,delivered cost,31, 16 km ,,,,,,,,,,
cereal rye,120,5,delivered cost,249, 16 km ,,,,,,,,,,
cereal rye,130,1,delivered cost,-177, 16 km ,,,,,,,,,,
cereal rye,130,3,delivered cost,63, 16 km ,,,,,,,,,,
cereal rye,130,5,delivered cost,302, 16 km ,,,,,,,,,,
cereal rye,140,1,delivered cost,-166, 16 km ,,,,,,,,,,
cereal rye,140,3,delivered cost,94, 16 km ,,,,,,,,,,
cereal rye,140,5,delivered cost,355, 16 km ,,,,,,,,,,
cereal rye,20,1,delivered cost,-299, 24 km ,,,,,,,,,,
cereal rye,20,3,delivered cost,-303, 24 km ,,,,,,,,,,
cereal rye,20,5,delivered cost,-307, 24 km ,,,,,,,,,,
cereal rye,30,1,delivered cost,-288, 24 km ,,,,,,,,,,
cereal rye,30,3,delivered cost,-271, 24 km ,,,,,,,,,,
cereal rye,30,5,delivered cost,-254, 24 km ,,,,,,,,,,
cereal rye,40,1,delivered cost,-278, 24 km ,,,,,,,,,,
cereal rye,40,3,delivered cost,-240, 24 km ,,,,,,,,,,
cereal rye,40,5,delivered cost,-201, 24 km ,,,,,,,,,,
cereal rye,50,1,delivered cost,-267, 24 km ,,,,,,,,,,
cereal rye,50,3,delivered cost,-208, 24 km ,,,,,,,,,,
cereal rye,50,5,delivered cost,-148, 24 km ,,,,,,,,,,
cereal rye,60,1,delivered cost,-257, 24 km ,,,,,,,,,,
cereal rye,60,3,delivered cost,-176, 24 km ,,,,,,,,,,
cereal rye,60,5,delivered cost,-95, 24 km ,,,,,,,,,,
cereal rye,70,1,delivered cost,-246, 24 km ,,,,,,,,,,
cereal rye,70,3,delivered cost,-144, 24 km ,,,,,,,,,,
cereal rye,70,5,delivered cost,-42, 24 km ,,,,,,,,,,
cereal rye,80,1,delivered cost,-235, 24 km ,,,,,,,,,,
cereal rye,80,3,delivered cost,-112, 24 km ,,,,,,,,,,
cereal rye,80,5,delivered cost,11, 24 km ,,,,,,,,,,
cereal rye,90,1,delivered cost,-225, 24 km ,,,,,,,,,,
cereal rye,90,3,delivered cost,-81, 24 km ,,,,,,,,,,
cereal rye,90,5,delivered cost,64, 24 km ,,,,,,,,,,
cereal rye,100,1,delivered cost,-214, 24 km ,,,,,,,,,,
cereal rye,100,3,delivered cost,-49, 24 km ,,,,,,,,,,
cereal rye,100,5,delivered cost,117, 24 km ,,,,,,,,,,
cereal rye,110,1,delivered cost,-204, 24 km ,,,,,,,,,,
